License Class Code,License Type Code,License Description
140,VB,VESSEL BEER
141,EB,EATING PLACE BEER
142,HB,HOTEL BEER
143,CB,CLUB BEER
144,BP,BALL PARK BEER
150,FV,FISHING VESSEL
210,MR,RESTAURANT BREWER
240,VL,VESSEL LIQUOR
241,RL,RESTAURANT LIQUOR
242,HL,HOTEL LIQUOR
243,CL,CLUB LIQUOR
244,GC,GOLF CLUB
245,LC,LUNCHEON CLUB
246,CT,CATERING ESTABLISHMENT
250,RR,RAILROAD CAR
251,EL,O.P. ENTERTAINMENT
252,OP,ON-PREMISES LIQUOR
252,TL,O.P. FOOD AND BEV
255,BL,BOTTLE CLUB
256,CR,CABARET LIQUOR
260,AL,AIRLINE COMPANY
341,RW,RESTAURANT WINE
342,HW,HOTEL WINE
343,CW,CLUB WINE
344,TW,TAVERN WINE
345,SW,SUMMER RESTAURANT WINE
346,SH,SUMMER HOTEL WINE
347,SC,SUMMER CLUB WINE
348,TS,SUMMER TAVERN WINE
349,ZW,WINTER RESTAURANT WINE
350,ZH,WINTER HOTEL WINE
351,ZC,WINTER CLUB WINE
352,ZT,WINTER TAVERN WINE
401,ZB,WINTER EATING PLACE BEER
402,ZB,WINTER HOTEL BEER
441,SB,SUMMER EATING PLACE BEER
442,SB,SUMMER HOTEL BEER
443,SB,SUMMER CLUB BEER
501,ZL,WINTER RESTAURANT LIQUOR
502,ZL,WINTER HOTEL LIQUOR
503,ZL,WINTER CLUB LIQUOR
515,ZL,WINTER (O.P.) FOOD & BEV
516,ZL,WINTER (O.P.) ENTERTAINMENT
540,SL,SUMMER VESSEL LIQUOR
541,SL,SUMMER RESTAURANT LIQUOR
542,SL,SUMMER HOTEL LIQUOR
543,SL,SUMMER CLUB LIQUOR
544,SL,SUMMER GOLF CLUB
548,SL,SUMMER (O.P.) FOOD & BEV
549,SL,SUMMER (0. P.) ENTERTAINMENT
353,WW,WINERY RETAIL ON-PREMISES
354,WC,WINE CATERING
121,DS,DRUG STORE BEER
121,DX,"DRUG BEER, WINE PROD"
122,A,GROCERY STORE BEER
122,AX,"GROCERY BEER, WINE PROD"
123,GB,CHAIN GROCERY
124,SS,SUPPLY SHIP
126,DS,"DRUG CHAIN, BEER ONLY"
126,DX,"DRUG CHAIN, WINE PROD"
128,A,"GROCERY CHAIN, BEER ONLY"
128,AX,"GROCERY CHAIN, WINE PROD"
222,L,LIQUOR STORE
305,WA,WINERY / FARM WINERY RETAIL
322,W,WINE STORE
101,D,BREWER
101,MI,MICRO BREWER
102,BR,BREWER RETAIL
103,C,WHOLESALE BEER(C)
104,BC,WHOLESALE CIDER
105,CO,WHOLESALE BEER(CO)
201,DA,"DISTILLER ""A"""
202,DB,"DISTILLER ""B"""
203,LL,WHOLESALE LIQUOR
204,DC,"DISTILLER ""C"""
205,DB,"DISTILLER ""B-1"""
206,DA,"DISTILLER ""A-1"""
301,DW,WINERY
302,FW,FARM WINERY
303,WW,WHOLESALE WINE
304,CD,CIDER PRODUCER
901,*,ON-PREMISES 1st ADD'L BAR
902,*,ON-PREMISES 2nd ADD'L BAR
903,*,BEER STANDS
904,*,BEER STANDS
949,*,ADD'L BARS IN LEGITMATE THEATRE OR CONCERT HALL
950,*,ADD'L BARS IN LEGITMATE THEATRE OR CONCERT HALL
951,*,ADD'L BARS IN LEGITMATE THEATRE OR CONCERT HALL
